5.069e+0	8.045e-43
5.349e+0	4.281e-43
5.625e+0	2.358e-43
5.902e+0	1.387e-43
6.218e+0	8.841e-44
6.658e+0	5.212e-44
7.100e+0	3.213e-44
7.634e+0	1.937e-44
8.274e+0	1.166e-44
9.041e+0	7.089e-45
1.004e+1	4.252e-45
1.133e+1	2.644e-45
1.322e+1	1.676e-45
1.579e+1	1.155e-45
1.888e+1	8.613e-46
2.256e+1	7.107e-46
2.697e+1	6.346e-46
3.224e+1	5.912e-46
3.855e+1	6.107e-46
4.609e+1	6.295e-46
5.510e+1	6.716e-46
6.588e+1	7.416e-46
7.878e+1	8.423e-46
9.420e+1	9.705e-46
1.126e+2	1.132e-45
1.347e+2	1.33e-45
1.611e+2	1.567e-45
1.926e+2	1.846e-45
2.303e+2	2.144e-45
2.770e+2	2.24e-45
3.284e+2	2.911e-45
3.938e+2	3.377e-45
4.709e+2	4.172e-45
5.584e+2	4.256e-45
6.733e+2	5.801e-45
8.051e+2	6.931e-45
9.396e+2	7.843e-45
	
