29.21	7.438e-42
29.58	6.636e-42
30.27	5.938e-42
30.98	5.41e-42
31.7	5.017e-42
32.44	4.699e-42
33.19	4.432e-42
33.96	4.215e-42
34.76	4.026e-42
35.57	3.859e-42
36.39	3.713e-42
37.24	3.607e-42
38.11	3.51e-42
39	3.421e-42
39.91	3.342e-42
40.83	3.298e-42
41.79	3.256e-42
42.76	3.218e-42
43.76	3.184e-42
44.77	3.182e-42
45.82	3.181e-42
46.88	3.181e-42
47.98	3.185e-42
49.09	3.218e-42
50.24	3.251e-42
51.41	3.286e-42
52.61	3.325e-42
53.83	3.39e-42
55.08	3.458e-42
56.37	3.53e-42
57.68	3.607e-42
59.02	3.709e-42
60.4	3.817e-42
61.81	3.932e-42
63.25	4.056e-42
64.72	4.203e-42
66.23	4.361e-42
67.77	4.533e-42
69.35	4.72e-42
70.96	4.929e-42
72.62	5.158e-42
74.31	5.41e-42
76.04	5.689e-42
77.81	5.99e-42
79.62	6.326e-42
81.48	6.704e-42
83.37	7.129e-42
85.32	7.58e-42
87.3	8.095e-42
89.34	8.689e-42
91.42	9.375e-42
93.55	1.01e-41
95.73	1.096e-41
97.96	1.199e-41
100.2	1.324e-41
102.6	1.46e-41
105	1.632e-41
107.4	1.859e-41
109.9	2.177e-41
112.5	2.595e-41
115.1	3.5e-41
115.5	4.097e-41
115.5	4.097e-41
115.1	4.712e-41
112.5	5.636e-41
109.9	5.941e-41
107.4	6.062e-41
105	6.008e-41
102.6	5.855e-41
100.2	5.648e-41
97.96	5.405e-41
95.73	5.141e-41
93.55	4.876e-41
91.42	4.618e-41
89.34	4.356e-41
87.3	4.106e-41
85.32	3.873e-41
83.37	3.657e-41
81.48	3.446e-41
79.62	3.25e-41
77.81	3.07e-41
76.04	2.905e-41
74.31	2.747e-41
72.62	2.601e-41
70.96	2.466e-41
69.35	2.343e-41
67.77	2.227e-41
66.23	2.119e-41
64.72	2.019e-41
63.25	1.926e-41
61.81	1.841e-41
60.4	1.761e-41
59.02	1.687e-41
57.68	1.617e-41
56.37	1.554e-41
55.08	1.496e-41
53.83	1.44e-41
52.61	1.387e-41
51.41	1.342e-41
50.24	1.298e-41
49.09	1.257e-41
47.98	1.216e-41
46.88	1.184e-41
45.82	1.153e-41
44.77	1.122e-41
43.76	1.092e-41
42.76	1.07e-41
41.79	1.048e-41
40.83	1.026e-41
39.91	1.003e-41
39	9.897e-42
38.11	9.758e-42
37.24	9.604e-42
36.39	9.432e-42
35.57	9.362e-42
34.76	9.282e-42
33.96	9.172e-42
33.19	9.026e-42
32.44	8.989e-42
31.7	8.923e-42
30.98	8.781e-42
30.27	8.503e-42
29.58	8.24e-42
29.21	7.438e-42
