  3.700  .144602E-37
  3.800  .685770E-38
  3.900  .347088E-38
  4.000  .187523E-38
  4.100  .107963E-38
  4.200  .660334E-39
  4.300  .426900E-39
  4.400  .289853E-39
  4.500  .205189E-39
  4.600  .150354E-39
  4.700  .113322E-39
  4.800  .874130E-40
  4.900  .687393E-40
  5.000  .549351E-40
  5.100  .476946E-40
  5.200  .418736E-40
  5.300  .371050E-40
  5.400  .331211E-40
  5.500  .297468E-40
  5.600  .268573E-40
  5.700  .243686E-40
  5.800  .222204E-40
  5.900  .203609E-40
  6.000  .187466E-40
  6.100  .173383E-40
  6.200  .161037E-40
  6.300  .150149E-40
  6.400  .140466E-40
  6.500  .131848E-40
  6.600  .124155E-40
  6.700  .117261E-40
  6.800  .111095E-40
  6.900  .105574E-40
  7.000  .100627E-40
  7.100  .961711E-41
  7.200  .921494E-41
  7.300  .885200E-41
  7.400  .852270E-41
  7.500  .822282E-41
  7.600  .795097E-41
  7.700  .770014E-41
  7.800  .746892E-41
  7.900  .725452E-41
  8.000  .705414E-41
  8.100  .686776E-41
  8.200  .669260E-41
  8.300  .653005E-41
  8.400  .638011E-41
  8.500  .624138E-41
  8.600  .611246E-41
  8.700  .599335E-41
  8.800  .588265E-41
  8.900  .577895E-41
  9.000  .568227E-41
  9.100  .559118E-41
  9.200  .550710E-41
  9.300  .542863E-41
  9.400  .535576E-41
  9.500  .528710E-41
  9.600  .522264E-41
  9.700  .516238E-41
  9.800  .510633E-41
  9.900  .505448E-41
 10.000  .500544E-41
 11.000  .467333E-41
 12.000  .453881E-41
 13.000  .452900E-41
 14.000  .460186E-41
 15.000  .473919E-41
 16.000  .491996E-41
 17.000  .514277E-41
 18.000  .539220E-41
 19.000  .567246E-41
 20.000  .597233E-41
 21.000  .629183E-41
 22.000  .663094E-41
 23.000  .698407E-41
 24.000  .735121E-41
 25.000  .773377E-41
 26.000  .812473E-41
 27.000  .852830E-41
 28.000  .894309E-41
 29.000  .936488E-41
 30.000  .979508E-41
